entidad	nom_ent	mun	nom_mun	pobtot	pobfem	pob0_14	pob15_64	pob65_mas
12	Guerrero	033	Huamuxtitlán	17488	9196	5378	10426	1684
12	Guerrero	034	Huitzuco de los Figueroa	36593	19084	9901	21762	4772
12	Guerrero	035	Iguala de la Independencia	154173	80237	40150	99958	13869
12	Guerrero	036	Igualapa	11739	6140	3842	6981	916
12	Guerrero	037	Ixcateopan de Cuauhtémoc	6138	3140	1585	3721	832
12	Guerrero	038	Zihuatanejo de Azueta	126001	64564	32724	82805	8620
12	Guerrero	039	Juan R. Escudero	26093	13332	7310	16060	2723
12	Guerrero	040	Leonardo Bravo	26357	13560	8920	15253	2184
12	Guerrero	041	Malinaltepec	29625	15738	11183	16204	2235
12	Guerrero	042	Mártir de Cuilapan	18613	9926	6517	10543	1551
12	Guerrero	043	Metlatónoc	18859	10084	8164	9396	1290
12	Guerrero	044	Mochitlán	12402	6378	3497	7603	1302
12	Guerrero	045	Olinalá	28446	14937	9867	16201	2373
12	Guerrero	046	Ometepec	68207	35166	21254	42221	4715
12	Guerrero	047	Pedro Ascencio Alquisiras	7076	3724	2347	4000	729
12	Guerrero	048	Petatlán	44583	22691	12817	27388	4355
12	Guerrero	049	Pilcaya	12753	6510	3725	7759	1268
